Kit,Adaptive,Sample,Rep,Genus,Count_new,Percent_new,Count,Percent
LSK112,Non-Adaptive,112_3_WGS,3,Cryptococcus,23,0.19,26,0.285557386
LSK112,Non-Adaptive,112_3_WGS,3,Enterococcus ,623,4.9,578,6.348160351
LSK112,Non-Adaptive,112_3_WGS,3,Escherichia-Shigella,1852,15.39,1895,20.81274025
LSK112,Non-Adaptive,112_3_WGS,3,Limosilactobacillus ,386,3.22,309,3.393739703
LSK112,Non-Adaptive,112_3_WGS,3,Listeria ,556,4.38,521,5.722130697
LSK112,Non-Adaptive,112_3_WGS,3,Pseudomonas ,4903,39.17,1896,20.82372323
LSK112,Non-Adaptive,112_3_WGS,3,Saccharomyces,55,0.44,50,0.549148819
LSK112,Non-Adaptive,112_3_WGS,3,Salmonella,1644,14.3,1655,18.17682592
LSK112,Non-Adaptive,112_3_WGS,3,Staphylococcus,886,7.28,692,7.60021966
LSK112,Non-Adaptive,112_3_WGS,3,Other,3,7.52,475,5.216913784
LSK112,Adaptive,112_1_A,1,Bacillus ,0,0,3085,11.46754888
LSK112,Adaptive,112_1_A,1,Cryptococcus,22,1.78,69,0.256486507
LSK112,Adaptive,112_1_A,1,Enterococcus ,0,0,1641,6.099918222
LSK112,Adaptive,112_1_A,1,Escherichia-Shigella,0,0,5305,19.71972344
LSK112,Adaptive,112_1_A,1,Limosilactobacillus ,0,0,925,3.438406066
LSK112,Adaptive,112_1_A,1,Listeria ,0,0,1519,5.64642034
LSK112,Adaptive,112_1_A,1,Pseudomonas ,0,0,5297,19.68998587
LSK112,Adaptive,112_1_A,1,Saccharomyces,1200,97.32,1099,4.085198127
LSK112,Adaptive,112_1_A,1,Salmonella,0,0,4801,17.84625678
LSK112,Adaptive,112_1_A,1,Staphylococcus,0,0,1912,7.107278269
LSK112,Adaptive,112_1_A,1,Other,11,0.89,1249,4.642777489
LSK112,Adaptive,112_2_A,2,Bacillus ,1,0.03,6594,10.92644451
LSK112,Adaptive,112_2_A,2,Cryptococcus,35,1.11,179,0.296608063
LSK112,Adaptive,112_2_A,2,Enterococcus ,1,0.03,3419,5.665379708
LSK112,Adaptive,112_2_A,2,Escherichia-Shigella,0,0,11825,19.59435948
LSK112,Adaptive,112_2_A,2,Limosilactobacillus ,0,0,2230,3.695173077
LSK112,Adaptive,112_2_A,2,Listeria ,0,0,3305,5.476478483
LSK112,Adaptive,112_2_A,2,Pseudomonas ,1,0.03,12614,20.90175479
LSK112,Adaptive,112_2_A,2,Saccharomyces,3058,97.02,2656,4.401067126
LSK112,Adaptive,112_2_A,2,Salmonella,1,0.03,10102,16.73929974
LSK112,Adaptive,112_2_A,2,Staphylococcus,2,0.06,4277,7.087109977
LSK112,Adaptive,112_2_A,2,Other,53,1.68,3148,5.216325043
LSK112,Adaptive,112_3_A,3,Bacillus ,0,0,218,11.01010101
LSK112,Adaptive,112_3_A,3,Cryptococcus,0,0,8,0.404040404
LSK112,Adaptive,112_3_A,3,Enterococcus ,0,0,128,6.464646465
LSK112,Adaptive,112_3_A,3,Escherichia-Shigella,0,0,358,18.08080808
LSK112,Adaptive,112_3_A,3,Limosilactobacillus ,0,0,51,2.575757576
LSK112,Adaptive,112_3_A,3,Listeria ,0,0,92,4.646464646
LSK112,Adaptive,112_3_A,3,Pseudomonas ,0,0,394,19.8989899
LSK112,Adaptive,112_3_A,3,Saccharomyces,117,100,109,5.505050505
LSK112,Adaptive,112_3_A,3,Salmonella,0,0,367,18.53535354
LSK112,Adaptive,112_3_A,3,Staphylococcus,0,0,144,7.272727273
LSK112,Adaptive,112_3_A,3,Other,0,0,111,5.606060606
